name,cont_estres_R1,cont_estres_R2,cont_estres_R3,control_R1,control_R2,ctrl_N7_XT17_R1,ctrl_N7_XT17_R2,ctrl_N7_XT17_R3,estres_N7_XT17_R1,estres_N7_XT17_R2,estres_N7_XT17_R3
AVESA.00001b.r3.1Ag0000074,0,0,4,0,0,0,0,0,0,0,3
AVESA.00001b.r3.1Ag0000075,0,13,0,0,5,0,8,2,2,8,3
AVESA.00001b.r3.1Ag0000076,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000077,240,145,388,217,140,53,325,426,391,137,335
AVESA.00001b.r3.1Ag0000078,0,0,1,0,0,0,0,2,2,0,0
AVESA.00001b.r3.1Ag0000079,2,3,0,0,0,0,6,1,4,1,0
AVESA.00001b.r3.1Ag0000080,4,4,2,1,2,0,8,4,1,3,2
AVESA.00001b.r3.1Ag0000081,6,4,6,4,5,6,4,0,3,4,2
AVESA.00001b.r3.1Ag0000082,3,6,2,0,0,1,0,6,3,0,6
AVESA.00001b.r3.1Ag0000083,2,2,16,6,3,1,19,15,5,2,8
AVESA.00001b.r3.1Ag0000084,1,2,2,0,7,0,4,2,0,5,2
AVESA.00001b.r3.1Ag0000085,1,0,2,2,0,6,0,0,0,0,4
AVESA.00001b.r3.1Ag0000086,7,7,11,11,11,8,5,8,14,17,9
AVESA.00001b.r3.1Ag0000087,4,2,4,3,0,0,0,5,4,4,0
AVESA.00001b.r3.1Ag0000088,6,4,22,24,15,9,47,25,22,7,19
AVESA.00001b.r3.1Ag0000089,32,30,32,32,39,17,9,32,18,14,21
AVESA.00001b.r3.1Ag0000090,10,6,19,18,6,14,7,19,14,0,16
AVESA.00001b.r3.1Ag0000091,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000092,11,11,14,10,18,2,14,21,13,20,9
AVESA.00001b.r3.1Ag0000093,6,16,13,2,7,8,3,15,19,10,25
AVESA.00001b.r3.1Ag0000094,118,25,56,37,19,53,51,64,142,35,63
AVESA.00001b.r3.1Ag0000095,26,29,33,17,25,26,37,24,43,32,30
AVESA.00001b.r3.1Ag0000096,37,46,35,26,46,40,57,47,33,71,61
AVESA.00001b.r3.1Ag0000097,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000098,15,15,7,8,22,19,11,16,11,9,10
AVESA.00001b.r3.1Ag0000099,2,26,16,27,46,4,42,44,9,20,22
AVESA.00001b.r3.1Ag0000100,4,3,2,2,0,0,4,0,0,4,2
AVESA.00001b.r3.1Ag0000101,4,0,1,2,0,4,2,0,2,2,0
AVESA.00001b.r3.1Ag0000102,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000103,0,0,0,2,4,2,5,4,10,2,6
AVESA.00001b.r3.1Ag0000104,14,34,13,7,43,10,17,18,26,335,48
AVESA.00001b.r3.1Ag0000105,162,163,197,118,210,93,194,140,178,355,235
AVESA.00001b.r3.1Ag0000106,6,6,9,11,8,2,9,8,2,4,9
AVESA.00001b.r3.1Ag0000107,6,3,2,10,12,11,7,6,4,4,16
AVESA.00001b.r3.1Ag0000108,42,76,53,51,117,89,59,90,39,93,87
AVESA.00001b.r3.1Ag0000109,25,39,50,71,17,2,38,44,49,45,40
AVESA.00001b.r3.1Ag0000110,87,89,84,73,61,44,80,65,99,61,121
AVESA.00001b.r3.1Ag0000111,0,0,0,4,0,2,2,1,1,0,1
AVESA.00001b.r3.1Ag0000112,75,70,53,62,65,33,48,70,84,73,95
AVESA.00001b.r3.1Ag0000113,2,0,0,1,2,0,0,2,0,2,0
AVESA.00001b.r3.1Ag0000114,12,11,7,8,2,12,8,3,6,20,9
AVESA.00001b.r3.1Ag0000115,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0000116,76,105,153,121,91,34,128,105,112,113,155
AVESA.00001b.r3.1Ag0000117,16,18,25,4,6,0,19,2,15,13,18
AVESA.00001b.r3.1Ag0000118,20,19,21,13,21,4,18,4,34,22,30
