name,cont_estres_R1,cont_estres_R2,cont_estres_R3,control_R1,control_R2,ctrl_N7_XT17_R1,ctrl_N7_XT17_R2,ctrl_N7_XT17_R3,estres_N7_XT17_R1,estres_N7_XT17_R2,estres_N7_XT17_R3
AVESA.00001b.r3.1Ag0002055,84,58,93,38,57,24,66,79,104,55,103
AVESA.00001b.r3.1Ag0002056,6,8,8,2,16,0,14,15,7,17,4
AVESA.00001b.r3.1Ag0002057,4,1,3,2,5,2,2,1,3,6,3
AVESA.00001b.r3.1Ag0002058,8,8,7,3,8,0,11,7,21,3,7
AVESA.00001b.r3.1Ag0002059,0,2,0,1,0,0,0,4,0,1,2
AVESA.00001b.r3.1Ag0002060,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002061,0,3,0,0,2,0,0,1,0,4,1
AVESA.00001b.r3.1Ag0002062,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002063,19,26,29,28,20,8,30,21,18,25,19
AVESA.00001b.r3.1Ag0002064,12,18,6,10,15,2,20,8,22,26,23
AVESA.00001b.r3.1Ag0002065,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002066,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002067,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002068,6,4,4,2,4,0,4,5,6,4,6
AVESA.00001b.r3.1Ag0002069,25,11,15,20,28,44,82,93,24,18,11
AVESA.00001b.r3.1Ag0002070,0,0,2,2,0,0,1,2,1,0,0
AVESA.00001b.r3.1Ag0002071,0,0,0,2,6,0,3,1,5,0,5
AVESA.00001b.r3.1Ag0002072,12,4,7,2,4,0,4,0,5,4,8
AVESA.00001b.r3.1Ag0002073,1,0,0,2,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002074,1,4,1,3,2,0,1,2,6,0,5
AVESA.00001b.r3.1Ag0002075,2,0,0,0,0,6,0,5,4,0,0
AVESA.00001b.r3.1Ag0002076,8,0,6,0,9,4,2,3,4,3,2
AVESA.00001b.r3.1Ag0002077,0,4,2,3,2,0,0,0,6,0,4
AVESA.00001b.r3.1Ag0002078,2,0,2,4,0,0,0,0,2,1,2
AVESA.00001b.r3.1Ag0002079,247,277,237,247,162,121,201,175,240,239,289
AVESA.00001b.r3.1Ag0002080,0,0,0,0,2,2,0,1,2,3,0
AVESA.00001b.r3.1Ag0002081,4,4,4,11,4,2,22,15,8,15,12
AVESA.00001b.r3.1Ag0002082,14,9,13,11,7,5,10,10,6,7,8
AVESA.00001b.r3.1Ag0002083,0,10,10,6,2,2,6,3,6,3,4
AVESA.00001b.r3.1Ag0002084,0,0,2,2,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002085,7,11,4,5,6,6,5,1,2,5,9
AVESA.00001b.r3.1Ag0002086,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002087,13,29,39,27,39,14,35,41,27,40,51
AVESA.00001b.r3.1Ag0002088,1,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002089,0,2,2,0,0,0,0,0,4,2,0
AVESA.00001b.r3.1Ag0002090,8,9,16,6,4,0,7,2,34,7,10
AVESA.00001b.r3.1Ag0002091,18,15,32,7,13,4,2,5,23,17,27
AVESA.00001b.r3.1Ag0002092,72,86,64,34,94,21,63,65,43,70,63
AVESA.00001b.r3.1Ag0002093,0,0,0,2,0,2,2,0,0,0,0
AVESA.00001b.r3.1Ag0002094,20,30,28,33,26,22,29,15,25,49,18
AVESA.00001b.r3.1Ag0002095,8,3,0,2,1,1,2,1,3,1,5
AVESA.00001b.r3.1Ag0002096,4,0,0,0,0,0,0,0,0,1,0
AVESA.00001b.r3.1Ag0002097,12,6,14,8,18,8,8,5,17,8,8
AVESA.00001b.r3.1Ag0002098,12,14,34,13,11,2,9,10,27,21,17
AVESA.00001b.r3.1Ag0002099,28,38,36,28,4,2,25,30,39,22,38
AVESA.00001b.r3.1Ag0002100,7,4,7,1,6,5,4,1,12,3,11
AVESA.00001b.r3.1Ag0002101,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002102,110,135,84,82,168,73,217,181,66,134,133
AVESA.00001b.r3.1Ag0002103,0,0,0,2,0,1,0,0,0,0,0
AVESA.00001b.r3.1Ag0002104,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002105,53,125,73,65,40,15,57,78,72,68,76
AVESA.00001b.r3.1Ag0002106,4,7,0,0,0,0,6,3,5,0,11
AVESA.00001b.r3.1Ag0002107,186,199,183,155,177,135,189,165,165,179,225
AVESA.00001b.r3.1Ag0002108,170,174,143,126,159,63,221,147,133,214,234
AVESA.00001b.r3.1Ag0002109,2,0,0,0,0,0,0,0,2,0,0
AVESA.00001b.r3.1Ag0002110,36,46,39,53,53,9,38,12,44,41,59
AVESA.00001b.r3.1Ag0002111,10,10,8,8,12,9,14,17,9,11,5
AVESA.00001b.r3.1Ag0002112,2,6,4,6,6,2,0,6,7,0,8
AVESA.00001b.r3.1Ag0002113,16,16,12,4,14,14,11,9,8,8,17
AVESA.00001b.r3.1Ag0002114,5,6,0,2,0,2,0,3,5,1,2
AVESA.00001b.r3.1Ag0002115,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002116,136,164,153,134,154,29,116,132,146,164,210
AVESA.00001b.r3.1Ag0002117,0,6,10,2,2,2,0,9,4,7,6
AVESA.00001b.r3.1Ag0002118,8,7,14,6,5,0,12,13,12,12,20
AVESA.00001b.r3.1Ag0002119,4,0,0,1,4,0,0,0,3,0,6
AVESA.00001b.r3.1Ag0002120,0,6,0,0,0,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0002121,0,0,0,0,0,0,0,0,2,0,0
AVESA.00001b.r3.1Ag0002122,2,0,0,0,0,0,0,4,2,1,2
AVESA.00001b.r3.1Ag0002123,5,0,2,1,1,0,4,1,3,5,0
AVESA.00001b.r3.1Ag0002124,0,0,0,0,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0002125,6,3,2,8,0,3,0,3,6,3,0
AVESA.00001b.r3.1Ag0002126,8,8,17,4,8,0,4,11,16,10,20
AVESA.00001b.r3.1Ag0002127,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002128,3,2,6,3,4,0,4,6,4,5,0
AVESA.00001b.r3.1Ag0002129,0,0,0,0,1,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0002130,6,6,0,2,4,0,2,2,0,1,6
AVESA.00001b.r3.1Ag0002131,9,4,8,5,9,22,15,9,8,22,12
AVESA.00001b.r3.1Ag0002132,0,0,0,0,0,0,0,0,2,0,0
AVESA.00001b.r3.1Ag0002133,70,15,49,31,24,14,22,21,57,22,94
AVESA.00001b.r3.1Ag0002134,9,5,5,5,18,4,9,9,6,9,8
AVESA.00001b.r3.1Ag0002135,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002136,32,52,56,25,48,12,25,22,35,38,32
AVESA.00001b.r3.1Ag0002137,3,2,2,4,4,0,9,6,1,2,0
AVESA.00001b.r3.1Ag0002138,7,8,26,9,12,8,5,14,8,9,7
AVESA.00001b.r3.1Ag0002139,3,18,9,9,6,6,10,2,16,9,13
AVESA.00001b.r3.1Ag0002140,0,0,2,1,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002141,13,38,32,20,21,0,26,22,32,29,42
AVESA.00001b.r3.1Ag0002142,0,0,0,0,0,0,0,2,4,0,2
AVESA.00001b.r3.1Ag0002143,223,163,174,239,255,273,378,464,198,310,315
AVESA.00001b.r3.1Ag0002144,27,18,24,18,41,15,25,39,28,20,27
AVESA.00001b.r3.1Ag0002145,4,4,4,4,8,0,12,3,2,4,10
AVESA.00001b.r3.1Ag0002146,18,23,36,34,7,0,32,22,30,15,35
AVESA.00001b.r3.1Ag0002147,256,325,346,271,304,363,238,191,308,242,255
AVESA.00001b.r3.1Ag0002148,4,2,2,0,0,4,11,6,2,1,2
AVESA.00001b.r3.1Ag0002149,14,14,22,10,20,2,18,12,16,10,37
AVESA.00001b.r3.1Ag0002150,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002151,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002152,50,61,53,45,54,25,71,42,53,49,27
AVESA.00001b.r3.1Ag0002153,7,7,19,7,12,9,6,15,20,0,6
AVESA.00001b.r3.1Ag0002154,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002155,24,28,36,24,46,3,24,13,23,42,44
AVESA.00001b.r3.1Ag0002156,28,43,38,39,26,13,30,31,59,27,36
AVESA.00001b.r3.1Ag0002157,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002158,19,23,26,12,29,14,33,26,30,21,45
AVESA.00001b.r3.1Ag0002159,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002160,72,78,83,117,85,125,130,137,95,102,138
AVESA.00001b.r3.1Ag0002161,23,66,54,24,65,14,30,47,86,53,63
AVESA.00001b.r3.1Ag0002162,21,27,39,26,19,16,18,24,20,15,45
AVESA.00001b.r3.1Ag0002163,8,2,0,9,0,4,5,12,11,3,16
AVESA.00001b.r3.1Ag0002164,0,0,1,2,0,0,2,3,5,0,0
AVESA.00001b.r3.1Ag0002165,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002166,82,94,104,46,84,139,32,46,95,57,93
AVESA.00001b.r3.1Ag0002167,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002168,19,9,22,20,26,23,16,22,24,25,16
AVESA.00001b.r3.1Ag0002169,12,9,8,7,4,6,7,13,9,9,6
AVESA.00001b.r3.1Ag0002170,13,12,28,19,17,4,28,27,4,12,19
AVESA.00001b.r3.1Ag0002171,5,6,3,11,3,2,2,3,0,1,2
AVESA.00001b.r3.1Ag0002172,1,2,2,7,1,0,0,4,6,1,0
AVESA.00001b.r3.1Ag0002173,8,13,9,6,14,2,7,3,12,3,18
AVESA.00001b.r3.1Ag0002174,0,5,2,4,3,2,13,4,0,5,0
AVESA.00001b.r3.1Ag0002175,2,2,0,0,0,0,2,0,0,0,0
AVESA.00001b.r3.1Ag0002176,62,79,89,68,64,34,55,68,56,52,87
AVESA.00001b.r3.1Ag0002177,3,5,8,13,10,0,8,6,8,7,5
AVESA.00001b.r3.1Ag0002178,0,0,0,0,0,0,2,0,2,0,0
AVESA.00001b.r3.1Ag0002179,0,0,0,0,0,0,0,1,2,1,0
AVESA.00001b.r3.1Ag0002180,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002181,28,24,32,24,25,1,20,27,49,15,39
AVESA.00001b.r3.1Ag0002182,0,1,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002183,9,8,6,2,9,2,2,1,5,0,8
AVESA.00001b.r3.1Ag0002184,31,23,30,24,22,1,24,17,20,17,36
AVESA.00001b.r3.1Ag0002185,0,2,0,2,0,0,0,6,1,2,2
AVESA.00001b.r3.1Ag0002186,0,2,0,0,0,0,0,1,2,0,0
AVESA.00001b.r3.1Ag0002187,0,0,0,0,0,2,0,0,0,0,0
AVESA.00001b.r3.1Ag0002188,1,0,2,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002189,62,33,43,52,41,27,48,42,55,39,64
AVESA.00001b.r3.1Ag0002190,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002191,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002192,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002193,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002194,31,16,17,2,9,21,26,18,15,12,18
AVESA.00001b.r3.1Ag0002195,15,14,9,7,12,5,14,4,6,5,6
AVESA.00001b.r3.1Ag0002196,14,22,7,7,17,0,8,12,10,14,15
AVESA.00001b.r3.1Ag0002197,35,28,15,30,14,11,15,15,34,10,19
AVESA.00001b.r3.1Ag0002198,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002199,2,0,2,0,0,0,2,3,2,1,5
AVESA.00001b.r3.1Ag0002200,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002201,2,0,0,4,2,0,1,2,0,0,4
AVESA.00001b.r3.1Ag0002202,12,11,10,11,12,24,8,9,8,3,8
AVESA.00001b.r3.1Ag0002203,0,0,3,0,2,3,2,0,0,1,0
AVESA.00001b.r3.1Ag0002204,4,2,10,4,3,2,7,7,7,3,12
AVESA.00001b.r3.1Ag0002205,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002206,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002207,3,6,6,6,6,0,6,3,12,7,4
AVESA.00001b.r3.1Ag0002208,4,4,2,2,3,2,10,4,5,7,4
AVESA.00001b.r3.1Ag0002209,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002210,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002211,70,56,44,37,69,25,90,89,89,61,68
AVESA.00001b.r3.1Ag0002212,14,20,21,13,15,11,28,23,38,18,29
AVESA.00001b.r3.1Ag0002213,0,0,0,0,2,0,0,0,1,0,1
AVESA.00001b.r3.1Ag0002214,11,18,12,14,17,6,11,7,11,4,23
AVESA.00001b.r3.1Ag0002215,2,1,4,5,2,0,6,2,15,1,7
AVESA.00001b.r3.1Ag0002216,13,11,17,13,11,4,11,3,5,5,29
AVESA.00001b.r3.1Ag0002217,1,0,0,0,0,0,2,0,1,0,0
AVESA.00001b.r3.1Ag0002218,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002219,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002220,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002221,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002222,0,0,0,0,0,0,2,0,2,0,0
AVESA.00001b.r3.1Ag0002223,101,102,118,102,159,70,105,99,106,113,145
AVESA.00001b.r3.1Ag0002224,11,4,10,10,1,8,4,4,7,8,9
AVESA.00001b.r3.1Ag0002225,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002226,8,8,6,3,10,7,8,16,17,15,9
AVESA.00001b.r3.1Ag0002227,6,3,10,5,0,4,0,0,2,3,7
AVESA.00001b.r3.1Ag0002228,0,0,3,1,2,0,2,1,2,6,2
AVESA.00001b.r3.1Ag0002229,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002230,3,1,1,4,4,1,4,1,10,3,4
AVESA.00001b.r3.1Ag0002231,3,13,9,6,11,4,12,7,6,8,13
AVESA.00001b.r3.1Ag0002232,68,64,111,93,89,25,49,49,106,45,92
AVESA.00001b.r3.1Ag0002233,6,16,16,21,9,4,22,16,16,31,15
AVESA.00001b.r3.1Ag0002234,92,70,56,61,86,51,91,85,62,55,50
AVESA.00001b.r3.1Ag0002235,31,35,39,34,23,2,26,45,26,27,46
AVESA.00001b.r3.1Ag0002236,1,2,1,0,3,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002237,6,12,17,24,13,5,6,18,10,14,12
AVESA.00001b.r3.1Ag0002238,0,0,0,0,0,0,1,0,0,0,0
AVESA.00001b.r3.1Ag0002239,33,10,31,5,17,14,17,19,18,14,26
AVESA.00001b.r3.1Ag0002240,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002241,8,4,10,2,1,5,7,4,0,5,8
AVESA.00001b.r3.1Ag0002242,5,4,2,7,3,6,8,12,2,2,9
AVESA.00001b.r3.1Ag0002243,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002244,18,60,66,48,61,18,37,61,56,56,67
AVESA.00001b.r3.1Ag0002245,61,64,50,30,48,30,22,27,43,40,58
AVESA.00001b.r3.1Ag0002246,65,47,88,53,57,20,70,55,75,40,88
AVESA.00001b.r3.1Ag0002247,7,6,9,6,4,2,10,13,2,5,16
AVESA.00001b.r3.1Ag0002248,76,87,83,78,99,31,90,73,101,56,92
AVESA.00001b.r3.1Ag0002249,2,4,4,6,4,2,3,3,5,2,4
AVESA.00001b.r3.1Ag0002250,4,4,5,0,3,0,2,1,0,4,4
AVESA.00001b.r3.1Ag0002251,59,46,54,33,36,10,53,47,26,46,45
AVESA.00001b.r3.1Ag0002252,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002253,8,4,19,9,18,4,20,4,15,15,28
AVESA.00001b.r3.1Ag0002254,48,76,78,70,102,29,128,84,59,73,85
AVESA.00001b.r3.1Ag0002255,41,19,33,8,8,15,11,3,27,6,50
AVESA.00001b.r3.1Ag0002256,0,0,2,0,0,0,0,1,0,0,3
AVESA.00001b.r3.1Ag0002257,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002258,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002259,0,0,2,0,0,0,4,0,3,1,4
AVESA.00001b.r3.1Ag0002260,1,0,0,2,0,2,1,0,0,0,2
AVESA.00001b.r3.1Ag0002261,0,0,0,3,0,0,3,2,0,0,1
AVESA.00001b.r3.1Ag0002262,6,4,0,2,0,4,0,0,4,2,2
AVESA.00001b.r3.1Ag0002263,8,1,9,6,3,10,2,3,15,2,4
AVESA.00001b.r3.1Ag0002264,8,28,37,20,17,8,17,21,23,20,24
AVESA.00001b.r3.1Ag0002265,23,7,11,13,12,4,6,3,11,6,10
AVESA.00001b.r3.1Ag0002266,57,70,74,73,67,23,56,59,69,67,116
AVESA.00001b.r3.1Ag0002267,2,0,6,1,0,0,4,3,6,4,9
AVESA.00001b.r3.1Ag0002268,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002269,16,16,20,5,16,4,11,14,12,8,21
AVESA.00001b.r3.1Ag0002270,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002271,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002272,9,15,16,16,13,5,7,6,13,11,19
AVESA.00001b.r3.1Ag0002273,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002274,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002275,4,8,2,0,0,0,0,2,0,1,2
AVESA.00001b.r3.1Ag0002276,2,8,8,0,8,6,3,6,16,2,12
AVESA.00001b.r3.1Ag0002277,88,28,37,19,21,81,8,8,43,6,34
AVESA.00001b.r3.1Ag0002278,3,2,2,0,0,0,0,1,0,4,0
AVESA.00001b.r3.1Ag0002279,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002280,1,2,0,0,0,0,4,0,0,2,0
AVESA.00001b.r3.1Ag0002281,188,175,203,206,174,124,121,126,193,163,204
AVESA.00001b.r3.1Ag0002282,95,7,23,16,38,22,13,2,29,4,77
AVESA.00001b.r3.1Ag0002283,7,7,6,4,5,1,9,3,2,1,7
AVESA.00001b.r3.1Ag0002284,6,13,0,4,2,2,2,4,0,7,2
AVESA.00001b.r3.1Ag0002285,6,13,18,16,14,2,22,9,3,8,18
AVESA.00001b.r3.1Ag0002286,4,2,4,0,2,1,1,0,1,1,7
AVESA.00001b.r3.1Ag0002287,253,464,335,334,497,332,408,290,248,369,364
AVESA.00001b.r3.1Ag0002288,6,4,2,3,2,0,4,3,7,5,4
AVESA.00001b.r3.1Ag0002289,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002290,14,9,11,6,10,0,14,13,15,17,18
AVESA.00001b.r3.1Ag0002291,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002292,56,62,73,65,65,18,63,56,93,53,99
AVESA.00001b.r3.1Ag0002293,8,16,21,19,18,11,5,19,17,24,21
AVESA.00001b.r3.1Ag0002294,38,64,91,55,43,22,42,33,79,32,73
AVESA.00001b.r3.1Ag0002295,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002296,191,164,190,70,111,181,163,170,158,199,156
AVESA.00001b.r3.1Ag0002297,13,27,20,7,25,8,21,22,36,32,36
AVESA.00001b.r3.1Ag0002298,0,0,0,0,3,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0002299,0,0,9,0,1,0,0,0,0,1,4
AVESA.00001b.r3.1Ag0002300,19,6,5,8,15,6,7,13,12,8,24
AVESA.00001b.r3.1Ag0002301,37,33,34,17,29,59,21,29,39,21,36
AVESA.00001b.r3.1Ag0002302,96,98,166,98,127,46,102,106,139,70,172
AVESA.00001b.r3.1Ag0002303,10,4,7,9,9,22,5,12,10,2,0
AVESA.00001b.r3.1Ag0002304,66,68,65,45,63,29,51,61,86,48,70
AVESA.00001b.r3.1Ag0002305,15,15,16,13,3,0,20,14,28,13,23
AVESA.00001b.r3.1Ag0002306,54,34,55,19,49,19,22,38,35,34,45
AVESA.00001b.r3.1Ag0002307,13,8,6,4,10,2,6,7,10,3,13
AVESA.00001b.r3.1Ag0002308,2,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002309,50,47,68,40,40,7,38,38,83,38,92
AVESA.00001b.r3.1Ag0002310,20,37,38,34,28,8,35,28,17,34,36
AVESA.00001b.r3.1Ag0002311,3,4,4,4,1,0,10,3,6,4,8
AVESA.00001b.r3.1Ag0002312,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002313,4,0,2,0,8,0,0,4,3,1,6
AVESA.00001b.r3.1Ag0002314,0,2,0,0,2,0,0,0,0,0,2
AVESA.00001b.r3.1Ag0002315,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002316,0,0,2,0,0,0,0,0,5,0,0
AVESA.00001b.r3.1Ag0002317,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002318,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002319,7,11,15,4,3,0,17,7,10,14,7
AVESA.00001b.r3.1Ag0002320,5,3,4,3,4,0,2,6,2,4,8
AVESA.00001b.r3.1Ag0002321,0,2,7,11,6,3,4,4,5,4,7
AVESA.00001b.r3.1Ag0002322,0,10,9,11,4,4,14,36,11,1,9
AVESA.00001b.r3.1Ag0002323,17,19,15,15,17,8,19,25,12,21,32
AVESA.00001b.r3.1Ag0002324,11,3,13,2,4,0,14,8,6,5,12
AVESA.00001b.r3.1Ag0002325,30,3,14,23,4,24,18,19,5,15,9
AVESA.00001b.r3.1Ag0002326,2,0,1,0,0,0,0,0,0,0,1
AVESA.00001b.r3.1Ag0002327,2,0,0,0,0,0,0,0,2,0,0
AVESA.00001b.r3.1Ag0002328,6,2,0,0,0,0,8,0,0,0,2
AVESA.00001b.r3.1Ag0002329,4,2,1,0,2,0,0,1,0,1,2
AVESA.00001b.r3.1Ag0002330,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002331,3,0,2,0,0,4,0,2,2,1,2
AVESA.00001b.r3.1Ag0002332,3,0,4,4,1,0,0,1,4,1,1
AVESA.00001b.r3.1Ag0002333,0,0,0,0,0,0,0,1,0,0,0
AVESA.00001b.r3.1Ag0002334,0,9,8,3,1,0,3,4,7,5,3
AVESA.00001b.r3.1Ag0002335,4,3,3,6,0,2,8,2,4,5,1
AVESA.00001b.r3.1Ag0002336,18,18,22,18,27,18,22,9,14,14,13
AVESA.00001b.r3.1Ag0002337,0,1,0,0,2,4,2,1,1,0,0
AVESA.00001b.r3.1Ag0002338,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002339,0,0,0,0,0,0,0,0,2,0,0
AVESA.00001b.r3.1Ag0002340,0,0,0,0,0,0,0,1,1,0,0
AVESA.00001b.r3.1Ag0002341,0,0,0,0,1,0,1,1,1,1,1
AVESA.00001b.r3.1Ag0002342,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002343,1,2,2,1,2,0,0,1,1,1,1
AVESA.00001b.r3.1Ag0002344,5,12,9,3,5,7,11,6,13,3,13
AVESA.00001b.r3.1Ag0002345,22,45,83,44,27,12,45,45,60,37,63
AVESA.00001b.r3.1Ag0002346,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002347,26,55,36,26,41,3,39,31,45,41,70
AVESA.00001b.r3.1Ag0002348,19,28,25,18,23,19,20,13,21,27,15
AVESA.00001b.r3.1Ag0002349,0,0,0,0,2,0,6,5,6,3,4
AVESA.00001b.r3.1Ag0002350,0,4,3,2,0,0,6,8,9,10,11
AVESA.00001b.r3.1Ag0002351,11,46,15,12,25,8,37,20,14,155,42
AVESA.00001b.r3.1Ag0002352,0,0,0,0,2,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002353,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002354,6,5,5,2,7,4,1,4,5,6,4
AVESA.00001b.r3.1Ag0002355,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002356,44,47,49,28,33,57,23,14,40,30,31
AVESA.00001b.r3.1Ag0002357,6,1,6,0,7,0,5,0,6,2,8
AVESA.00001b.r3.1Ag0002358,2,0,0,0,2,0,0,3,0,0,1
AVESA.00001b.r3.1Ag0002359,2,0,4,2,3,2,4,0,4,0,3
AVESA.00001b.r3.1Ag0002360,5,4,3,7,10,2,11,11,0,7,4
AVESA.00001b.r3.1Ag0002361,75,108,87,90,107,43,87,102,129,99,163
AVESA.00001b.r3.1Ag0002362,0,0,0,0,0,0,0,0,2,0,2
AVESA.00001b.r3.1Ag0002363,33,18,17,12,15,3,22,14,36,20,21
AVESA.00001b.r3.1Ag0002364,230,142,234,259,333,325,493,709,211,230,243
AVESA.00001b.r3.1Ag0002365,10,10,3,6,5,0,4,5,12,4,15
AVESA.00001b.r3.1Ag0002366,14,26,24,12,24,3,14,16,24,24,31
AVESA.00001b.r3.1Ag0002367,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002368,2,3,2,2,2,0,6,5,6,3,2
AVESA.00001b.r3.1Ag0002369,2,2,4,3,3,4,1,2,4,3,8
AVESA.00001b.r3.1Ag0002370,17,7,12,1,8,0,5,4,12,11,8
AVESA.00001b.r3.1Ag0002371,0,2,0,0,0,0,4,0,0,1,2
AVESA.00001b.r3.1Ag0002372,236,150,142,204,231,580,172,175,159,164,192
AVESA.00001b.r3.1Ag0002373,2,4,0,4,2,0,0,0,0,1,0
AVESA.00001b.r3.1Ag0002374,0,0,0,0,0,0,0,0,0,0,0
AVESA.00001b.r3.1Ag0002375,6,6,6,8,7,3,2,10,6,10,12
AVESA.00001b.r3.1Ag0002376,34,43,47,20,36,6,36,41,38,24,45
AVESA.00001b.r3.1Ag0002377,0,0,0,2,0,0,2,1,6,2,12
AVESA.00001b.r3.1Ag0002378,9,5,1,1,1,5,4,1,3,2,0
AVESA.00001b.r3.1Ag0002379,0,0,0,0,0,0,0,3,2,1,7
AVESA.00001b.r3.1Ag0002380,5,4,2,6,10,4,2,1,3,0,6
AVESA.00001b.r3.1Ag0002381,13,1,4,1,5,0,7,9,2,0,0
AVESA.00001b.r3.1Ag0002382,0,1,3,4,7,0,0,6,2,3,7
AVESA.00001b.r3.1Ag0002383,58,114,114,65,63,8,59,87,95,94,111
AVESA.00001b.r3.1Ag0002384,0,0,0,0,0,0,0,0,0,0,0
